iter	Passed	Remaining
908	2324	232
909	2329	230
910	2333	227
911	2337	225
912	2340	222
913	2343	220
914	2346	218
915	2350	215
916	2352	212
917	2355	210
918	2358	207
919	2362	205
920	2365	202
921	2368	200
922	2370	197
923	2373	195
924	2376	192
925	2378	190
926	2381	187
927	2384	184
928	2386	182
929	2389	179
930	2392	177
931	2395	174
932	2397	172
933	2400	169
934	2402	167
935	2406	164
936	2408	161
937	2411	159
938	2414	156
939	2416	154
940	2419	151
941	2422	149
942	2424	146
943	2427	143
944	2429	141
945	2432	138
946	2435	136
947	2438	133
948	2440	131
949	2442	128
950	2445	125
951	2447	123
952	2451	120
953	2453	118
954	2456	115
955	2458	113
956	2460	110
957	2463	108
958	2466	105
959	2469	102
960	2471	100
961	2474	97
962	2476	95
963	2479	92
964	2482	90
965	2484	87
966	2487	84
967	2489	82
968	2491	79
969	2494	77
970	2497	74
971	2499	71
972	2501	69
973	2504	66
974	2507	64
975	2511	61
976	2514	59
977	2516	56
978	2519	54
979	2521	51
980	2524	48
981	2527	46
982	2530	43
983	2532	41
984	2534	38
985	2537	36
986	2541	33
987	2544	30
988	2546	28
989	2549	25
990	2551	23
991	2554	20
992	2557	18
993	2559	15
994	2562	12
995	2564	10
996	2567	7
997	2570	5
998	2573	2
999	2575	0
